DATE,DAY,MONTH,QUARTER,YEAR,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Apr-26,Thursday,April,Q2,2026,EQ,"1,352.00","1,353.80","1,330.00","1,344.10","1,345.90","1,343.30","1,338.46","1,611.80","1,227.60","3,02,11,012","40,43,61,95,396.30","3,33,177"
15-Apr-26,Wednesday,April,Q2,2026,EQ,"1,337.00","1,347.00","1,334.20","1,315.10","1,342.90","1,344.10","1,340.02","1,611.80","1,227.60","1,53,13,779","20,52,08,18,325.60","2,59,818"
13-Apr-26,Monday,April,Q2,2026,EQ,"1,321.20","1,327.60","1,310.00","1,350.20","1,314.00","1,315.10","1,316.46","1,611.80","1,227.60","2,87,53,269","37,85,25,16,273.60","4,56,747"
10-Apr-26,Friday,April,Q2,2026,EQ,"1,337.00","1,352.30","1,331.50","1,330.00","1,350.00","1,350.20","1,346.97","1,611.80","1,114.85","1,93,64,461","26,08,33,04,335.70","2,28,260"
09-Apr-26,Thursday,April,Q2,2026,EQ,"1,346.00","1,350.00","1,326.30","1,347.80","1,330.00","1,330.00","1,333.26","1,611.80","1,114.85","2,07,25,390","27,63,22,49,237.20","2,77,395"
08-Apr-26,Wednesday,April,Q2,2026,EQ,"1,349.00","1,350.60","1,326.20","1,304.60","1,349.40","1,347.80","1,343.02","1,611.80","1,114.85","2,18,17,543","29,30,14,22,736.40","4,34,059"
07-Apr-26,Tuesday,April,Q2,2026,EQ,"1,295.00","1,308.30","1,291.00","1,304.70","1,307.30","1,304.60","1,298.73","1,611.80","1,114.85","2,83,88,922","36,86,96,41,751.60","3,64,146"
06-Apr-26,Monday,April,Q2,2026,EQ,"1,359.00","1,359.00","1,290.00","1,350.50","1,306.00","1,304.70","1,306.37","1,611.80","1,114.85","2,92,74,881","38,24,37,83,551.00","5,84,670"
02-Apr-26,Thursday,April,Q2,2026,EQ,"1,357.00","1,358.20","1,328.00","1,369.20","1,350.90","1,350.50","1,346.65","1,611.80","1,114.85","2,12,80,051","28,65,68,73,097.20","3,35,321"
01-Apr-26,Wednesday,April,Q2,2026,EQ,"1,384.20","1,384.40","1,362.90","1,343.90","1,369.50","1,369.20","1,372.02","1,611.80","1,114.85","1,44,04,619","19,76,33,87,955.30","2,41,179"
30-Mar-26,Monday,March,Q1,2026,EQ,"1,335.00","1,365.00","1,334.10","1,348.10","1,348.30","1,343.90","1,347.25","1,611.80","1,114.85","2,43,93,861","32,86,45,44,984.70","4,26,526"
27-Mar-26,Friday,March,Q1,2026,EQ,"1,401.00","1,404.70","1,345.00","1,413.10","1,348.00","1,348.10","1,359.97","1,611.80","1,114.85","2,32,66,517","31,64,17,34,742.50","5,46,051"
25-Mar-26,Wednesday,March,Q1,2026,EQ,"1,420.00","1,430.50","1,408.40","1,411.80","1,413.80","1,413.10","1,418.75","1,611.80","1,114.85","1,90,41,331","27,01,49,40,455.50","3,13,024"
24-Mar-26,Tuesday,March,Q1,2026,EQ,"1,420.00","1,422.40","1,406.60","1,407.80","1,414.00","1,411.80","1,413.20","1,611.80","1,114.85","1,86,20,893","26,31,50,89,062.40","3,04,313"
23-Mar-26,Monday,March,Q1,2026,EQ,"1,400.00","1,415.60","1,391.00","1,414.40","1,404.00","1,407.80","1,404.46","1,611.80","1,114.85","1,89,79,554","26,65,59,71,496.80","3,85,355"
20-Mar-26,Friday,March,Q1,2026,EQ,"1,398.00","1,430.00","1,396.10","1,384.80","1,413.60","1,414.40","1,418.94","1,611.80","1,114.85","2,29,94,918","32,62,84,66,606.50","3,15,139"
19-Mar-26,Thursday,March,Q1,2026,EQ,"1,388.00","1,415.70","1,376.10","1,408.10","1,392.00","1,384.80","1,394.72","1,611.80","1,114.85","1,64,98,373","23,01,06,87,830.50","3,05,792"
18-Mar-26,Wednesday,March,Q1,2026,EQ,"1,397.20","1,412.90","1,397.20","1,397.60","1,407.20","1,408.10","1,408.59","1,611.80","1,114.85","95,59,327","13,46,51,78,867.70","2,12,371"
17-Mar-26,Tuesday,March,Q1,2026,EQ,"1,399.00","1,405.90","1,388.20","1,395.10","1,394.80","1,397.60","1,398.21","1,611.80","1,114.85","1,90,07,744","26,57,68,82,526.60","2,73,340"
16-Mar-26,Monday,March,Q1,2026,EQ,"1,380.00","1,397.30","1,363.50","1,380.70","1,394.00","1,395.10","1,384.52","1,611.80","1,114.85","2,28,37,802","31,61,93,78,231.50","2,93,132"
13-Mar-26,Friday,March,Q1,2026,EQ,"1,385.20","1,400.80","1,378.40","1,392.20","1,382.10","1,380.70","1,388.25","1,611.80","1,114.85","1,72,65,090","23,96,82,36,254.70","3,15,335"
12-Mar-26,Thursday,March,Q1,2026,EQ,"1,390.00","1,410.90","1,381.10","1,390.20","1,390.00","1,392.20","1,397.56","1,611.80","1,114.85","2,09,39,959","29,26,48,77,793.70","3,70,385"
11-Mar-26,Wednesday,March,Q1,2026,EQ,"1,424.90","1,434.00","1,383.60","1,408.80","1,386.80","1,390.20","1,402.95","1,611.80","1,114.85","2,18,48,087","30,65,16,92,543.40","3,58,595"
10-Mar-26,Tuesday,March,Q1,2026,EQ,"1,430.60","1,431.50","1,400.60","1,424.00","1,410.90","1,408.80","1,410.92","1,611.80","1,114.85","1,80,71,259","25,49,71,67,382.50","2,66,712"
09-Mar-26,Monday,March,Q1,2026,EQ,"1,375.00","1,429.40","1,370.00","1,404.80","1,418.60","1,424.00","1,404.08","1,611.80","1,114.85","2,48,70,822","34,92,05,85,822.30","3,63,998"
06-Mar-26,Friday,March,Q1,2026,EQ,"1,396.50","1,424.30","1,390.30","1,389.40","1,407.00","1,404.80","1,412.87","1,611.80","1,114.85","1,93,11,971","27,28,52,57,299.50","2,91,792"
05-Mar-26,Thursday,March,Q1,2026,EQ,"1,353.10","1,399.00","1,353.10","1,345.00","1,386.40","1,389.40","1,383.03","1,611.80","1,114.85","2,59,57,532","35,89,99,97,226.10","3,39,169"
04-Mar-26,Wednesday,March,Q1,2026,EQ,"1,330.00","1,352.80","1,307.00","1,358.00","1,345.20","1,345.00","1,334.60","1,611.80","1,114.85","3,24,95,007","43,36,79,43,821.30","6,43,399"
02-Mar-26,Monday,March,Q1,2026,EQ,"1,375.50","1,378.60","1,341.50","1,393.90","1,360.00","1,358.00","1,358.19","1,611.80","1,114.85","2,37,28,722","32,22,81,24,369.60","3,84,813"
27-Feb-26,Friday,February,Q1,2026,EQ,"1,398.00","1,410.40","1,388.10","1,406.80","1,394.90","1,393.90","1,397.46","1,611.80","1,114.85","1,20,31,440","16,81,35,12,507.20","1,95,405"
26-Feb-26,Thursday,February,Q1,2026,EQ,"1,398.50","1,412.90","1,391.90","1,398.50","1,409.00","1,406.80","1,404.01","1,611.80","1,114.85","1,66,83,858","23,42,42,95,896.50","2,42,404"
25-Feb-26,Wednesday,February,Q1,2026,EQ,"1,435.00","1,440.50","1,393.50","1,428.80","1,400.80","1,398.50","1,414.07","1,611.80","1,114.85","1,07,28,792","15,17,13,07,392.70","2,04,165"
